A:00 F:40 B:F1 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:F1 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:F1 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:F0 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:F0 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:F0 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:60 B:EF C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:60 B:EF C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:60 B:EF C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:EE C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:EE C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:EE C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:ED C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:ED C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:ED C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:EC C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:EC C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:EC C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:EB C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:EB C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:EB C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:EA C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:EA C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:EA C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:E9 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:E9 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:E9 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:E8 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:E8 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:E8 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:E7 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:E7 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:E7 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:E6 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:E6 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:E6 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
